Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,Precio biodiésel,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario,Tipo estación
TARRAGONA,AMETLLA DE MAR (L'),AMETLLA DE MAR (L'),43860,PORT CALAFAT,,0.850278,40.927333,2024-11-23 15:54:37,1.459,,,,,1.359,,,,,,,,,,ALAS - PORT CALAFAT,L-D: 24H,Puerto
TARRAGONA,CALAFELL,SEGUR DE CALAFELL,43882,Pº MARITIMO S/N,,1.607556,41.186083,2024-11-23 15:54:37,1.839,,,,,1.696,,,,,,,,,,"PORT SEGUR CALAFELL, S.A.",L-D: 08:00-20:00,Puerto
TARRAGONA,CAMBRILS,CAMBRILS,43850,"PUERTO PESQUERO, S/Nº",,1.061881,41.06275,2024-11-23 15:54:37,,,,,,,,0.685,,,,,,,,REPSOL,L-D: 24H,Puerto
TARRAGONA,DELTEBRE,DELTEBRE,43580,ML PUERTO DELTEBRE,,0.843167,40.717361,2024-11-23 15:54:37,1.419,,,,,1.389,,,,,,,,,,CARBURANTS DEL MONTSIÀ,L-D: 24H,Puerto
TARRAGONA,SANT CARLES DE LA RÀPITA,LA RÁPITA,43540,"PUERTO, S/Nº",,0.596881,40.613861,2024-11-23 15:54:37,,,,,,,,0.685,,,,,,,,REPSOL,L-D: 24H,Puerto
TARRAGONA,TARRAGONA,TARRAGONA,43005,MUELLE DE REUS S/N,,1.242194,41.106917,2024-11-23 15:54:37,,,,,,,,,,,,,,,,VILALTA CORPORACION S.A.,L-D: 24H,Puerto
TARRAGONA,TORREDEMBARRA,TORREDEMBARRA,43830,"EDIFICIO CAPITANIA, S/N",,,,2024-11-23 15:54:37,1.672,,,,,1.564,,0.65,,,,,,,,LIBRE,L-D: 09:00-14:00 y 16:00-19:00,Puerto
TARRAGONA,VANDELLÒS I L'HOSPITALET DE L'INFANT,HOSPITALET DE L'INFANT,43890,MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO,,0.927694,40.988639,2024-11-23 15:54:37,,1.636,,,,1.51,,,,,,,,,,REPSOL,L-D: 08:00-20:00,Puerto
VALENCIA / VALÈNCIA,OLIVA,OLIVA,46780,"ALFONSO EL MAGNANIMO, 41",,-0.094694,38.931639,2024-11-23 15:54:37,1.519,,,,,1.389,,,,,,,,,,BP OIL,L: 08:00-19:00,Puerto
VALENCIA / VALÈNCIA,POBLA DE FARNALS (LA),POBLA DE FARNALS (LA),46137,PLAZA CORTES VALENCIANAS S/N,,-0.284167,39.560333,2024-11-23 15:54:37,1.665,,,,,1.565,,,,,,,,,,POBLA MARINA,L-D: 07:00-21:00,Puerto
VALENCIA / VALÈNCIA,VALENCIA,VALENCIA,46024,"DIQUE NORTE, BOCANA DARSENA INTERIOR ",,-0.312278,39.461306,2024-11-23 15:54:37,1.659,,,,,1.539,,1.029,,,,,,,,REPSOL ,L-D: 08:00-18:00,Puerto
VALENCIA / VALÈNCIA,VALENCIA,VALENCIA,46024,"CAMINO DE CANAL, 91 - CLUB NAUTICO DE VALENCIA",,-0.330722,39.429917,2024-11-23 15:54:37,1.669,,,,,1.549,,,,,,,,,,"EXCLUSIVAS BAYMAR, S.A.",L-D: 24H,Puerto
